platform,surface_type,desired_velocity_mps,method,recommended_cmd_mps,expected_actual_mps,status,reason
booster_k1,S3_artificial_turf,0.27943846703968217,nearest_lookup,0.35,0.27943846703968217,lookup,"nearest match at cmd=0.350 m/s, actual=0.279 m/s"
booster_k1,S3_artificial_turf,0.27943846703968217,ordinary_interpolation,0.35,0.279438,interpolated,global interpolation between cmd=0.300 and 0.350
booster_k1,S3_artificial_turf,0.3531,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.3531,direct_command,0.3531,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.3531,scalar_gain,0.36507009,0.3531,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.3531,nearest_lookup,0.35,0.27943846703968217,lookup,"nearest match at cmd=0.350 m/s, actual=0.279 m/s"
booster_k1,S3_artificial_turf,0.3531,ordinary_interpolation,0.374989,0.3531,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,S3_artificial_turf,0.42682779523085085,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.42682779523085085,direct_command,0.42682779523085085,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.42682779523085085,scalar_gain,0.4412972574891767,0.42682779523085085,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.42682779523085085,nearest_lookup,0.4,0.42682779523085085,lookup,"nearest match at cmd=0.400 m/s, actual=0.427 m/s"
booster_k1,S3_artificial_turf,0.42682779523085085,ordinary_interpolation,0.4,0.426828,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,S3_artificial_turf,0.444,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.444,direct_command,0.444,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.444,scalar_gain,0.4590516,0.444,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.444,nearest_lookup,0.45,0.4611539411478762,lookup,"nearest match at cmd=0.450 m/s, actual=0.461 m/s"
booster_k1,S3_artificial_turf,0.444,ordinary_interpolation,0.425013,0.444,interpolated,global interpolation between cmd=0.400 and 0.450
booster_k1,S3_artificial_turf,0.4611539411478762,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.4611539411478762,direct_command,0.4611539411478762,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.4611539411478762,scalar_gain,0.47678705975278923,0.4611539411478762,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.4611539411478762,nearest_lookup,0.45,0.4611539411478762,lookup,"nearest match at cmd=0.450 m/s, actual=0.461 m/s"
booster_k1,S3_artificial_turf,0.4611539411478762,ordinary_interpolation,0.45,0.461154,interpolated,global interpolation between cmd=0.400 and 0.450
booster_k1,S3_artificial_turf,0.541,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.541,direct_command,0.541,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.541,scalar_gain,0.5593399000000001,0.541,naive,u_cmd = 1.034 * v_desired
booster_k1,S3_artificial_turf,0.541,nearest_lookup,0.45,0.4611539411478762,lookup,"nearest match at cmd=0.450 m/s, actual=0.461 m/s"
booster_k1,S3_artificial_turf,0.541,ordinary_interpolation,0.474993,0.541,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S3_artificial_turf,0.6208891728025406,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S3_artificial_turf,0.6208891728025406,direct_command,0.6208891728025406,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S3_artificial_turf,0.6208891728025406,scalar_gain,0.6419373157605468,0.6208891728025406,naive,u_cmd = 1.034 * v_desired
